date,price
1/6/2015,2183
1/7/2015,2109
1/8/2015,2081
1/9/2015,2275
1/10/2015,2473
1/11/2015,2535
1/12/2015,2450
1/1/2016,2327
1/2/2016,2451
1/3/2016,2263
1/4/2016,2451
1/5/2016,2263
1/6/2016,2341
1/7/2016,2385
1/8/2016,2358
1/9/2016,2536
1/10/2016,2570
1/11/2016,2698
1/12/2016,2636
1/1/2017,2768
1/2/2017,2630
1/3/2017,2761
1/4/2017,2576
1/5/2017,2705
1/6/2017,2840
1/7/2017,2983
1/8/2017,2861
1/9/2017,2900
1/10/2017,2897
1/12/2017,3070
1/1/2018,3140
1/2/2018,3114
1/3/2018,2976
1/4/2018,3102
1/5/2018,3150
1/6/2018,2935
1/7/2018,2934
1/8/2018,2700
1/9/2018,2819
1/10/2018,2960
1/11/2018,3003
1/12/2018,3293
1/1/2019,3128
1/2/2019,3126
1/3/2019,2981
1/4/2019,3064
1/5/2019,2911
