year,month,price
2015,1,81.09
2015,2,87.53
2015,3,89.87
2015,4,88.79
2015,5,89.94
2015,6,88.7
2015,7,84.09
2015,8,82.09
2015,9,77.23
2015,10,73.16
2015,11,78.19
2015,12,76.13
2016,1,82.87
2016,2,85.9
2016,3,87.99
2016,4,88.86
2016,5,85.28
2016,6,84.48
2016,7,84.03
2016,8,79.26
2016,9,78.28
2016,10,77.93
2016,11,69.43
2016,12,67.21
2017,1,73.21
2017,2,79.05
2017,3,92.07
2017,4,93.38
2017,5,92.28
2017,6,90.43
2017,7,87.15
2017,8,87.82
2017,9,80.45
2017,10,77.55
2017,11,75.46
2017,12,72.38
2018,1,84.62
2018,2,86.18
2018,3,85.02
2018,4,86.42
2018,5,83.2
2018,6,79.17
2018,7,78.98
2018,8,68.47
2018,9,53.22
2018,10,51.65
2018,11,49.03
2018,12,46.14
2019,1,53.98
2019,2,54.57
2019,3,59.34
2019,4,61.16
2019,5,54.88
2019,6,54.34
			

